"Mutual_Information","Mira_Score","Mean_Distance","Brownian_Covariate","GO"
0.0374322464389155,0.0355309798387927,0.0832342265554834,0.0507219608373968,"GO:0007623"
0.0834694328317685,0.0467901440819159,0.135351112666663,0.182129362081253,"GO:0022602"
0.0816127796742707,0.0320898014864884,0.313133222056324,0.333840631588612,"GO:0032846"
0.172301053743745,0.0647982174049425,0.610688544216776,0.521662148609495,"GO:0032845"
0.0158372982305827,0.00686580043913074,0.270107034621336,0.230364143931934,"GO:0043900"
0.0118491343374571,0.00842476809646683,0.135240819065535,0.232574463696884,"GO:0051656"
0.00342276503568178,0.000420462428009705,0.00696913063099842,0.0143010839947649,"GO:0044419"
0.0783866770974718,0.0782985423537456,0.0489456060357642,0.0438525861892629,"GO:0051705"
0.056716698164125,0.140290272952688,0.309789578359339,0.284535017921108,"GO:0042439"
0.655005016215424,0.483052045564888,0.955817211820547,0.93676922975423,"GO:0042558"
0.0160373536966641,0.0161294988942786,0.0527745842830535,0.0768880286109944,"GO:0016042"
0.489099335723026,0.623100596958547,0.918107763532081,0.908803909985701,"GO:0016998"
0.106892769964627,0.0846849969234611,0.173932469902942,0.196151069316059,"GO:0042446"
0.023798251854892,0.00869343878042409,0.207521667858929,0.216938433856864,"GO:0046148"
0.0420779901745055,0.0766786962291584,0.411616414481565,0.341920484602293,"GO:0044246"
0.250139382980478,0.24494920289792,0.285040518039806,0.284193651137366,"GO:0016486"
0.869008070233315,0.886405373685343,0.263669734478712,0.377872191488835,"GO:0032350"
0.0675914140490395,0.0711570099232754,0.325980177442895,0.365099116942416,"GO:0034754"
0.00235946850308532,0.00133960143804558,0.21243769687062,0.178666725489299,"GO:0043112"
0.0837738961787004,0.0914919918771534,0.00429884771642443,0.0119565346957787,"GO:0006081"
0.00837199391377367,0.0132688536331236,0.0211768274533291,0.0261631925067048,"GO:0006518"
0.00935604256623232,0.00339925638446672,0.16474976751992,0.161277493642479,"GO:0006730"
0.00466238777524914,0.0145432096484515,0.086411946745421,0.0613407185677246,"GO:0006800"
0.0345803372406668,0.0157527824579833,0.467185306669988,0.502710455676985,"GO:0006805"
0.0715231648858404,0.0589168359396268,0.52415295156007,0.496790038663059,"GO:0017144"
0.546181135218118,0.386802708799289,0.0958676533771275,0.119349171022163,"GO:0002698"
0.00725098139515744,0.00287837963850424,0.0136572544597274,0.00948854089508535,"GO:0050777"
0.00236017050109394,0.00398905530919845,9.78349939996827e-05,0.00072029088487958,"GO:0006959"
0.00542708085756961,0.00611205583942786,0.0367096480045916,0.0262831519593748,"GO:0045087"
0.00060177706549065,0.00448287333830046,0.0277548561483043,0.0326562100407559,"GO:0002274"
0.0315912280303911,0.0607600404768757,0.0245849373440721,0.0291920164637937,"GO:0001558"
0.00334834900496795,0.00288654320157426,0.00811136756333785,0.0046345735937059,"GO:0040014"
0.0696239807341397,0.0342620421974207,0.0808232188071864,0.120895126519817,"GO:0046620"
2.08252218341223e-07,1.08776814895018e-07,0.013401799348922,0.0106431315981249,"GO:0019079"
0.000553132142532844,0.000231843408169679,0.381888934306819,0.319701109719592,"GO:0019059"
0.00417589010859444,0.00714756056873054,0.0900568121983405,0.0814831840257571,"GO:0006887"
0.00109283334831065,0.00262999158463551,0.0178486412568646,0.0170648943659858,"GO:0006897"
0.0344675467163255,0.046442536625783,0.0701625392357622,0.0796190955170017,"GO:0016197"
0.0111752593296411,0.00745840421032225,0.208120296230618,0.22690502059577,"GO:0007162"
0.142291569885778,0.134532171851704,0.0103594727263079,0.039827885663139,"GO:0033627"
0.00644343462358363,0.00545094371531905,0.424628401769392,0.556042014050568,"GO:0045785"
0.0117216729994735,0.0200059899958621,0.326055647327349,0.294163649214435,"GO:0030261"
0.367842825232493,0.392349548021136,0.119357661126544,0.14292134852178,"GO:0006997"
0.020668726667121,0.0148270589350231,0.0646378448534452,0.0508810071112871,"GO:0007005"
0.00344987911518509,0.00590576788263052,0.0469411931351076,0.033559828943281,"GO:0007030"
0.145245099422374,0.175930072191212,0.423367351053514,0.432866205669122,"GO:0007031"
0.124845906612498,0.114409289890481,0.292147720060765,0.297891316469089,"GO:0007032"
0.0166917237931941,0.0549336716707997,0.051201776280734,0.0519729589017067,"GO:0010639"
0.150087786502845,0.173023227111244,0.349735299660206,0.345353435604655,"GO:0016050"
0.511354406588593,0.547176872217575,0.839009609195904,0.785581501446123,"GO:0048284"
0.0146853185395531,0.0101246903096803,0.207404560030926,0.116331737937051,"GO:0007018"
0.0221496926895423,0.0161491744455698,0.00240825584940296,0.00749249675586758,"GO:0045786"
0.0584636140658698,0.0734813420304166,0.0291217896326392,0.0374426271503555,"GO:0045787"
1.4736031223483e-05,1.68340465284568e-05,0.00840140711451149,0.0109646105683339,"GO:0031668"
0.0238584198938802,0.0420286048234996,0.120590749760628,0.116795526813507,"GO:0019835"
0.41293347187177,0.477467171047737,0.84679877784952,0.9230295800808,"GO:0007405"
0.000821305866298607,0.000675717532902227,0.052365051264143,0.0643505278181123,"GO:0008284"
